Playbook
"p101; ['c:AdditionalTask']"
"p122; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p123; ['c:CTI_Input', 'FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'DynamicAnalysis']"
"p124; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p125; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p126; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p127; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p128; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p129; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p130; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileAnalysis', 'DynamicAnalysis']"
"p131; ['c:CTI_Input', 'DynamicAnalysis', 'FileAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p132; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p133; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p134; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p135; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p136; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ProcessAnalysis']"
"p137; ['ProcessAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p138; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'URLAnalysis']"
"p13; ['RestoreNetworkAccess', 'RestoreAccess', 'RestoreFile', 'RestoreObject']"
"p140; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'LocalAccountMonitoring', 'UserBehaviorAnalysis']"
"p141; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'URLAnalysis', 'c:CTI_Input']"
"p142; ['c:AdditionalTask']"
"p143; ['c:AdditionalTask']"
"p144; ['c:AdditionalTask']"
"p145; ['c:AdditionalTask']"
"p146; ['c:AdditionalTask']"
"p147; ['c:CTI_Input', 'c:AdditionalTask']"
"p148; ['UserGeolocationLogonPatternAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'UserBehaviorAnalysis']"
"p14; ['RestoreObject', 'RestoreFile', 'RestoreAccess', 'RestoreNetworkAccess']"
"p150; ['c:IncidentHandlingManagement']"
"p151; ['c:IncidentHandlingManagement']"
"p152; ['c:AdditionalTask']"
"p153; ['c:AdditionalTask']"
"p154; ['c:AdditionalTask']"
"p155; ['c:AdditionalTask']"
"p156; ['c:NotifyingTask']"
"p157; ['c:HistoricalDataAnalysis']"
"p158; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
