Attack_id,Attack_tactics,Model,Harden,Detect,Isolate,Deceive,Evict,Restore,Total,Artifact,Model_missing,Harden_missing,Detect_missing,Isolate_missing,Deceive_missing,Evict_missing,Restore_missing,Model_covered,Harden_covered,Detect_covered,Isolate_covered,Deceive_covered,Evict_covered,Restore_covered,Artifact_missing
T1027,{'defense-evasion'},,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,,"['FileEncryption', 'LocalFilePermissions']",[],[],['DecoyFile'],[],[],,[],"['FileContentAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'FileHashing', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],['FileEviction'],['RestoreFile'],[]
T1033,{'discovery'},1.0,0.2,0.875,0.5,0.0,1.0,1.0,0.68,0.8333333333333334,[],"['ProcessSegmentExecutionPrevention', 'FileEncryption', 'SegmentAddressOffsetRandomization', 'LocalFilePermissions']",['ProcessSelf-ModificationDetection'],"['Hardware-basedProcessIsolation', 'Kernel-basedProcessIsolation']",['DecoyFile'],[],[],['DataInventory'],['DomainTrustPolicy'],"['FileContentAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'SystemCallAnalysis', 'FileHashing', 'ProcessSpawnAnalysis', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],"['ProcessSuspension', 'FileEviction', 'ProcessTermination', 'HostShutdown']","['RestoreDatabase', 'RestoreFile']",['Process Segment']
T1055,"{'defense-evasion', 'privilege-escalation'}",,0.0,1.0,0.5,0.0,1.0,1.0,0.65,1.0,,"['FileEncryption', 'SegmentAddressOffsetRandomization', 'ProcessSegmentExecutionPrevention', 'LocalFilePermissions']",[],"['Kernel-basedProcessIsolation', 'Hardware-basedProcessIsolation']",['DecoyFile'],[],[],,[],"['FileContentAnalysis', 'ProcessCodeSegmentVerification', 'DynamicAnalysis', 'FileIntegrityMonitoring', 'SystemCallAnalysis', 'OperatingSystemMonitoring', 'FileHashing', 'ProcessSpawnAnalysis', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],['FileEviction'],['RestoreFile'],[]
T1059,{'execution'},,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,,"['FileEncryption', 'LocalFilePermissions']",[],[],['DecoyFile'],[],[],,[],"['FileContentAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'FileHashing', 'EmulatedFileAnalysis']","['ExecutableAllowlisting', 'ExecutableDenylisting']",[],['FileEviction'],['RestoreFile'],[]
T1068,{'privilege-escalation'},,0.0,1.0,,,,,0.5,1.0,,"['StackFrameCanaryValidation', 'SegmentAddressOffsetRandomization', 'ProcessSegmentExecutionPrevention']",[],,,,,,[],"['ProcessCodeSegmentVerification', 'ShadowStackComparisons', 'OperatingSystemMonitoring']",,,,,[]
T1070,{'defense-evasion'},,0.0,1.0,,0.0,1.0,1.0,0.6666666666666666,0.6666666666666667,,"['FileEncryption', 'LocalFilePermissions']",[],,"['DecoyNetworkResource', 'DecoyFile']",[],[],,[],"['FileContentAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'OperatingSystemMonitoring', 'FileHashing', 'EmulatedFileAnalysis']",,[],['FileEviction'],['RestoreFile'],['Network File Share Resource']
T1071,{'command-and-control'},,0.0,0.875,1.0,0.0,1.0,1.0,0.7916666666666666,1.0,,"['FileEncryption', 'LocalFilePermissions']","['FileCarving', 'PerHostDownload-UploadRatioAnalysis']",[],['DecoyFile'],[],[],,[],"['FileContentAnalysis', 'CertificateAnalysis', 'DNSTrafficAnalysis', 'NetworkTrafficSignatureAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'FileHashing', 'NetworkTrafficCommunityDeviation', 'UserGeolocationLogonPatternAnalysis', 'ProtocolMetadataAnomalyDetection', 'RemoteTerminalSessionDetection', 'EmulatedFileAnalysis', 'Client-serverPayloadProfiling', 'RelayPatternAnalysis']","['NetworkTrafficFiltering', 'DNSDenylisting', 'DNSAllowlisting']",[],['FileEviction'],['RestoreFile'],[]
T1083,{'discovery'},,0.0,1.0,,0.0,1.0,1.0,0.7,0.5,,"['FileEncryption', 'LocalFilePermissions']",[],,['DecoyFile'],[],[],,[],"['FileContentAnalysis', 'FileIntegrityMonitoring', 'DynamicAnalysis', 'FileHashing', 'EmulatedFileAnalysis']",,[],['FileEviction'],['RestoreFile'],['Directory']
T1105,{'command-and-control'},,,0.875,1.0,,,,0.8888888888888888,1.0,,,['PerHostDownload-UploadRatioAnalysis'],[],,,,,,"['NetworkTrafficSignatureAnalysis', 'NetworkTrafficCommunityDeviation', 'UserGeolocationLogonPatternAnalysis', 'ProtocolMetadataAnomalyDetection', 'RemoteTerminalSessionDetection', 'Client-serverPayloadProfiling', 'RelayPatternAnalysis']",['NetworkTrafficFiltering'],,,,[]
T1190,{'initial-access'},,0.0,0.8888888888888888,1.0,,,,0.75,0.6666666666666667,,"['SegmentAddressOffsetRandomization', 'ProcessSegmentExecutionPrevention']",['PerHostDownload-UploadRatioAnalysis'],[],,,,,[],"['InboundSessionVolumeAnalysis', 'DatabaseQueryStringAnalysis', 'NetworkTrafficSignatureAnalysis', 'NetworkTrafficCommunityDeviation', 'UserGeolocationLogonPatternAnalysis', 'ProtocolMetadataAnomalyDetection', 'RemoteTerminalSessionDetection', 'Client-serverPayloadProfiling']",['NetworkTrafficFiltering'],,,,['Process Segment']
